var                                                                    | dimension |             min |             max |         average
tcon0102                                                               | (127, 32) |    -3.85996e-08 |     3.68798e-08 |     3.64277e-10
tcon0103                                                               | (127, 32) |    -3.89215e-08 |      3.9109e-08 |     2.19998e-10
tcon0104                                                               | (127, 32) |    -4.44932e-08 |     4.09277e-08 |     1.25593e-11
tcon0105                                                               | (127, 32) |    -4.51567e-08 |     4.85209e-08 |    -1.26965e-10
tcon0106                                                               | (127, 32) |    -5.23917e-08 |     4.84992e-08 |     -9.1667e-11
tcon0107                                                               | (127, 32) |    -4.87665e-08 |     4.87661e-08 |     8.44207e-11
tcon0108                                                               | (127, 32) |    -4.77866e-08 |     4.86564e-08 |     2.35659e-10
tcon0109                                                               | (127, 32) |    -5.67255e-08 |     5.25326e-08 |     2.14677e-10
tcon0110                                                               | (127, 32) |    -5.79018e-08 |     5.37784e-08 |     2.65908e-11
tcon0111                                                               | (127, 32) |    -5.84269e-08 |     5.84926e-08 |    -1.76037e-10
tcon0112                                                               | (127, 32) |    -6.77931e-08 |     6.18445e-08 |    -2.41167e-10
tcon0113                                                               | (127, 32) |    -7.59097e-08 |       7.352e-08 |    -1.60572e-10
tcon0114                                                               | (127, 32) |    -7.14359e-08 |     7.81635e-08 |    -5.42025e-11
tcon0115                                                               | (127, 32) |    -8.13941e-08 |     7.58219e-08 |    -1.70378e-11
tcon0116                                                               | (127, 32) |    -8.41873e-08 |     8.45929e-08 |    -3.70564e-11
tcon0117                                                               | (127, 32) |    -6.81819e-08 |     8.36452e-08 |    -5.69504e-11
tcon0118                                                               | (127, 32) |     -7.9419e-08 |     8.24871e-08 |    -4.83037e-11
tcon0119                                                               | (127, 32) |      -8.897e-08 |     8.51917e-08 |    -2.45202e-11
tcon0120                                                               | (127, 32) |     -7.4807e-08 |     7.64573e-08 |     -1.0355e-11
tcon0121                                                               | (127, 32) |    -8.73524e-08 |      7.8408e-08 |    -1.32964e-11
tcon0122                                                               | (127, 32) |    -9.51556e-08 |      8.5923e-08 |    -1.89833e-11
tcon0123                                                               | (127, 32) |    -8.79102e-08 |     9.34122e-08 |    -5.73902e-12
tcon0124                                                               | (127, 32) |    -7.02598e-08 |     8.81447e-08 |     4.67193e-11
tcon0125                                                               | (127, 32) |    -6.40939e-08 |     7.51785e-08 |     1.38422e-10
tcon0126                                                               | (127, 32) |    -1.21167e-07 |     1.40518e-07 |     2.33569e-10
tcon0127                                                               | (127, 32) |     -1.4441e-07 |     1.70103e-07 |     2.75734e-10
sst                                                                    | (32, 64)  |         0.20012 |        0.523829 |        0.296043
hsst                                                                   | (32, 64)  |             100 |             100 |             100
